,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,,
1,N,,,,,,,S,,,,,,,N,,
2,N,,,,,,,,,,,,,,N,,
3,N,,,,,,,,,,,,,,N,,
4,N,,,,,,,,,,,,,,N,,
5,N,,,,,,,,,,,,,,N,,
6,N,J,J,J,J,J,J,J,J,J,J,J,J,J,N,,
7,N,,,,,,,,,,,,,,N,,
8,N,,,,,,,,,,,,,,N,,
9,N,Ps,,,,,,,,,,,,Pr,N,,
10,N,,,,,,,,,,,,,,N,,
11,N,,,,,,,,,,,,,,N,,
12,N,,,,,,,,,,,,,,N,,
13,N,,,,,,,,,,,,,,N,,
14,N,,,,,,,,,,,,,,N,,
15,N,,,,,,,,,,,,,,N,,
16,N,,,,,,,,,,,,,,N,,
17,N,Ps,,,,Pr,,C,,Ps,,,,Pr,N,,
18,N,,,,,,,,,,,,,,N,,
19,N,,,,,,,,,,,,,,N,,
20,N,,,,,,,,,,,,,,N,,
21,N,,,,,Ps,,,,Pr,,,,,N,,
22,N,,,,,,,,,,,,,,N,,
23,N,,,,,,,,,,,,,,N,,
24,N,,,,,,,,,,,,,,N,,
25,N,,,,Ps,,,,,,Pr,,,,N,,
26,N,,,,,,,,,,,,,,N,,
27,N,,,,,,,,,,,,,,N,,
28,N,,,,,,,,,,,,,,N,,
29,N,,,,,,,,,,,,,,N,,
30,N,Ps,,,Pr,,,C,,,Ps,,,Pr,N,,
31,N,,,,,,,,,,,,,,N,,
32,N,,,,,,,,,,,,,,N,,
33,N,,,,,,,,,,,,,,N,,
34,N,,,,,,,,,,,,,,N,,
35,N,J,J,J,J,Ps,,,,Pr,J,J,J,J,N,,
36,N,,,,,,,,,,,,,,N,,
37,N,,,,,,,,,,,,,,N,,
38,N,Ps,,,,Pr,,,,Ps,,,,Pr,N,,
39,N,,,,,,,,,,,,,,N,,
40,N,,,,,,,,,,,,,,N,,
41,N,,,,,,,,,,,,,,N,,
42,N,Ps,,,,Pr,,,,Ps,,,,Pr,N,,
43,N,,,,,,,,,,,,,,N,,
44,N,,,,,,,,,,,,,,N,,
45,N,,,,,,,,,,,,,,N,,
46,N,Ps,,Pr,C,Ps,,,,Pr,C,Ps,,Pr,N,,
47,N,,,,,,,,,,,,,,N,,
48,N,,,,,,,,,,,,,,N,,
49,N,,,,,,,,,,,,,,N,,
50,N,,,,,,,,,,,,,,N,,
51,N,,,,,,,,,,,,,,N,,
52,N,,,,,,,,,,,,,,N,,
53,N,J,J,J,J,J,J,J,J,J,J,J,J,J,N,,
54,N,,,,,,,,,,,,,,N,,
55,N,,,,,,,,,,,,,,N,,
56,N,Ps,,,,,,,,,,,,Pr,N,,
57,N,Ps,,,,,,,,,,,,Pr,N,,
58,NLs,,,,,,,,,,,,,,NLs,,
59,,,,,,Ps,,,,Pr,,,,,,,
60,,,,,,,,,,,,,,,,,
61,,,,,Ps,,,,,,Pr,,,,,,
62,,,,,,,,,,,,,,,,,
63,,,,,Ps,,,,,,Pr,,,,,,
64,,,,,,,,,,,,,,,,,
65,,,,Ps,,,,,,,,Pr,,,,,
66,,,,,,,,,,,,,,,,,
67,,C,Ps,,,,,,,,,,Pr,C,,,
68,,,,,,,,,,,,,,,,,
69,,,Ps,,,,,,,,,,Pr,,,,
70,,,,,,,,,,,,,,,,,
71,,J,Ps,,,,,,,,,,Pr,J,,,
72,,,,,,,,,,,,,,,,,
73,,,Pr,,,,,,,,,,Pr,,,,
74,NLr,,,,,,,,,,,,,,NLr,,
75,N,Ps,,,,,,,,,,,,Pr,N,,
76,N,,,,,,,,,,,,,,N,,
77,N,,,,,,,,,,,,,,N,,
78,N,,,,,,St,St,St,,,,,,N,,
79,N,,,,,,St,St,St,,,,,,N,,
80,N,Ps,,Pr,,,St,St,St,,,Ps,,Pr,N,,
81,N,Ps,,Pr,,,,,,,,Ps,,Pr,N,,
82,N,Ps,,Pr,,,,,,,,Ps,,Pr,N,,
83,N,Ps,,,Pr,,,,,,Ps,,,Pr,N,,
84,N,Ps,,,Pr,,,,,,Ps,,,Pr,N,,
85,N,Ps,,,Pr,,,,,,Ps,,,Pr,N,,
86,N,Ps,,,,Pr,,C,,Ps,,,,Pr,N,,
87,N,Ps,,,,Pr,,,,Ps,,,,Pr,N,,
88,N,Ps,,,,Pr,,,,Ps,,,,Pr,N,,
89,N,Ps,,,,Pr,J,J,J,Ps,,,,Pr,N,,
90,N,Ps,,,,,,,,,,,,Pr,N,,
