,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,,,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15
1,Ns,,,,,,, S,,,,,,,Ns,,1,NL,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,2,NL,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,3,NL,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,4,NL,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,5,NL,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,6,NL,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,7,NL,,,,,,,,,,,,,,
8,Nr,St,St,St,St,St,St,St,St,St,St,St,St,St,Nr,,8,NL,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,9,NL,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,10,NL,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,11,NL,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,12,NL,,,,,,,,,,,,,,
13,Ps,,,,,Pr,C,C,C,Ps,,,,,Pr,,13,NL,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,14,NL,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,15,NL,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,16,NL,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,17,NL,,,,,,,,,,,,,,
18,,,Js,,Jr,,,,,,Js,,Jr,,,,18,NL,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,19,NL,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,20,NL,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,21,NL,,,,,,,,,,,,,,
22,Ps,,,,,,,,,,,,,,Pr,,22,NL,,,,,,,,,,,,,,
23,,,,,,,,VPs,,,,,,,,,23,NL,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,24,NL,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,25,NL,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,26,NL,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,27,NL,,,,,,,,,,,,,,
28,Ps,,,,Pr,,C,,C,,Ps,,,,Pr,,28,NL,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,29,NL,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,30,NL,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,31,NL,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,32,NL,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,33,NL,,,,,,,,,,,,,,
34,,C,,Ps,,,Pr,,Ps,,,Pr,,C,,,34,NL,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,35,NL,,,,,,,,,,,,,,
