,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15
1,NL,,,,,,,,,,,,,,
2,NL,,,,,,,,,,,,,,
3,NL,,,,,,,,,,,,,,
4,NL,,,,,,,,,,,,,,
5,NL,,,,,,,,,,,,,,
6,NL,,,,,,,,,,,,,,
7,NL,,,,,,,,,,,,,,
8,NL,,,,,,,,,,,,,,
9,NL,,,,,,,,,,,,,,
10,NL,,,,,,,,,,,,,,
11,NL,,,,,,,,,,,,,,
12,NL,,,,,,,,,,,,,,
13,NL,,,,,,,,,,,,,,
14,NL,,,,,,,,,,,,,,
15,NL,,,,,,,,,,,,,,
16,NL,,,,,,,,,,,,,,
17,NL,,,,,,,,,,,,,,
18,NL,,,,,,,,,,,,,,
19,NL,,,,,,,,,,,,,,
20,NL,,,,,,,,,,,,,,
21,NL,,,,,,,,,,,,,,
22,NL,,,,,,,,,,,,,,
23,NL,,,,,,,,,,,,,,
24,NL,,,,,,,,,,,,,,
25,NL,,,,,,,,,,,,,,
26,NL,,,,,,,,,,,,,,
27,NL,,,,,,,,,,,,,,
28,NL,,,,,,,,,,,,,,
29,NL,,,,,,,,,,,,,,
30,NL,,,,,,,,,,,,,,
31,NL,,,,,,,,,,,,,,
32,NL,,,,,,,,,,,,,,
33,NL,,,,,,,,,,,,,,
34,NL,,,,,,,,,,,,,,
35,NL,,,,,,,,,,,,,,
36,NL,,,,,,,,,,,,,,
37,NL,,,,,,,,,,,,,,
38,NL,,,,,,,,,,,,,,
39,NL,,,,,,,,,,,,,,
40,NL,,,,,,,,,,,,,,
41,NL,,,,,,,,,,,,,,
42,NL,,,,,,,,,,,,,,
43,NL,,,,,,,,,,,,,,
44,NL,,,,,,,,,,,,,,
45,NL,,,,,,,,,,,,,,
46,NL,,,,,,,,,,,,,,
47,NL,,,,,,,,,,,,,,
48,NL,,,,,,,,,,,,,,
49,NL,,,,,,,,,,,,,,
50,NL,,,,,,,,,,,,,,
51,NL,,,,,,,,,,,,,,
52,NL,,,,,,,,,,,,,,
53,NL,,,,,,,,,,,,,,
54,NL,,,,,,,,,,,,,,
55,NL,,,,,,,,,,,,,,
56,NL,,,,,,,,,,,,,,
57,NL,,,,,,,,,,,,,,
58,NL,,,,,,,,,,,,,,
59,NL,,,,,,,,,,,,,,
60,NL,,,,,,,,,,,,,,
61,NL,,,,,,,,,,,,,,
62,NL,,,,,,,,,,,,,,
63,NL,,,,,,,,,,,,,,
64,NL,,,,,,,,,,,,,,
65,NL,,,,,,,,,,,,,,
66,NL,,,,,,,,,,,,,,
67,NL,,,,,,,,,,,,,,
68,NL,,,,,,,,,,,,,,
69,NL,,,,,,,,,,,,,,
70,NL,,,,,,,,,,,,,,
71,NL,,,,,,,,,,,,,,
72,NL,,,,,,,,,,,,,,
73,NL,,,,,,,,,,,,,,
74,NL,,,,,,,,,,,,,,
75,NL,,,,,,,,,,,,,,
76,NL,,,,,,,,,,,,,,
77,NL,,,,,,,,,,,,,,
78,NL,,,,,,,,,,,,,,
79,NL,,,,,,,,,,,,,,
80,NL,,,,,,,,,,,,,,
81,NL,,,,,,,,,,,,,,
82,NL,,,,,,,,,,,,,,
83,NL,,,,,,,,,,,,,,
84,NL,,,,,,,,,,,,,,
85,NL,,,,,,,,,,,,,,
86,NL,,,,,,,,,,,,,,
87,NL,,,,,,,,,,,,,,
88,NL,,,,,,,,,,,,,,
89,NL,,,,,,,,,,,,,,
90,NL,,,,,,,,,,,,,,
91,NL,,,,,,,,,,,,,,
92,NL,,,,,,,,,,,,,,
93,NL,,,,,,,,,,,,,,
94,NL,,,,,,,,,,,,,,
95,NL,,,,,,,,,,,,,,
96,NL,,,,,,,,,,,,,,
97,NL,,,,,,,,,,,,,,
98,NL,,,,,,,,,,,,,,
99,NL,,,,,,,,,,,,,,
100,NL,,,,,,,,,,,,,,
101,NL,,,,,,,,,,,,,,
102,NL,,,,,,,,,,,,,,
103,NL,,,,,,,,,,,,,,
104,NL,,,,,,,,,,,,,,
105,NL,,,,,,,,,,,,,,
106,NL,,,,,,,,,,,,,,
107,NL,,,,,,,,,,,,,,
108,NL,,,,,,,,,,,,,,
109,NL,,,,,,,,,,,,,,
110,NL,,,,,,,,,,,,,,
111,NL,,,,,,,,,,,,,,
112,NL,,,,,,,,,,,,,,
113,NL,,,,,,,,,,,,,,
114,NL,,,,,,,,,,,,,,
115,NL,,,,,,,,,,,,,,
116,NL,,,,,,,,,,,,,,
117,NL,,,,,,,,,,,,,,
118,NL,,,,,,,,,,,,,,
119,NL,,,,,,,,,,,,,,
120,NL,,,,,,,,,,,,,,
121,NL,,,,,,,,,,,,,,
122,NL,,,,,,,,,,,,,,
123,NL,,,,,,,,,,,,,,
124,NL,,,,,,,,,,,,,,
125,NL,,,,,,,,,,,,,,
126,NL,,,,,,,,,,,,,,
127,NL,,,,,,,,,,,,,,
128,NL,,,,,,,,,,,,,,
129,NL,,,,,,,,,,,,,,
130,NL,,,,,,,,,,,,,,
131,NL,,,,,,,,,,,,,,
132,NL,,,,,,,,,,,,,,
133,NL,,,,,,,,,,,,,,
134,NL,,,,,,,,,,,,,,
135,NL,,,,,,,,,,,,,,
136,Ps,,,,,,,,Pr,Ps,,,,,Pr
137,Ps,,,,,,,Pr,Ps,,,,,,Pr
138,Ps,,,,,,Pr,Ps,,,,,,,Pr
139,Ps,,,,,Pr,Ps,,,,,,,,Pr
140,Ps,,,,Pr,J,J,Ps,,,,,,,Pr
141,NL,,,,,,,,,,,,,,
142,NL,,,,,,,,,,,,,,
143,NL,,,,,,,,,,,,,,
144,N,VPs,,,,,,Ns,Ps,,Pr,VDs,Ps,,Pr
145,N,,,,,C,,,Ps,,Pr,,Ps,,Pr
146,N,,,,C,,,,Ps,,Pr,,Ps,,Pr
147,N,,,,,C,,Nr,Ps,,Pr,VDr,Ps,,Pr
148,N,,,,C,,,,Ps,,Pr,J,Ps,,Pr
149,N,,,,,,,,Ps,,Pr,,Ps,,Pr
150,N,,,,,,,,Ps,,,,,,Pr
151,N,,,,,,,,Ps,,,,,,Pr
152,N,,,,,,,Ps,,,,,,,Pr
153,N,,,,,,Ps,,,,,,,,Pr
154,N,,,,,Ps,,,,,,,,,Pr
155,N,,,,Ps,,,,,,,,,,Pr
156,N,,C,Ps,,,,,,,,,,,Pr
157,N,,,,Ps,,,,,,,,,,Pr
158,Ps,,Pr,,,Ps,,,,,,,,,Pr
159,Ps,,,Pr,,,Ps,,,,,,,,Pr
160,Ps,,,,Pr,,,Ps,,,,,,,Pr
161,Ps,,,,,Pr,,,Ps,,,,,,Pr
162,Ps,VPr,,,,,Pr,,,Ps,,,,,Pr
163,Ps,,,,,,,Pr,,,Ps,,,,Pr
164,Ps,,,,,,,,Pr,,,Ps,,,Pr
165,Ps,,,,,,,,,Pr,,,Ps,,Pr
166,Ps,,,,,,,,,,Pr,,,Ps,Pr
167,Ps,,,,,,,,,,,Pr,,,
168,Ps,,,,,,,,,,,,Pr,,C
169,Ps,,,,,,,,,,,Pr,,Ps,Pr
170,Ps,,,,,,,,,,Pr,,Ps,,Pr
171,Ps,,,,,,,,,Pr,C,Ps,,,Pr
172,Ps,,,,,,,,Pr,,Ps,,,,Pr
173,Ps,,,,,,,Pr,,Ps,,,,,Pr
174,Ps,,,,,,Pr,,Ps,,,,,,Pr
175,Ps,,,,,Pr,,Ps,,,,,,,Pr
176,Ps,,,,Pr,,Ps,,,,,,,,Pr
177,Ps,,,Pr,,Ps,,,,,,,,,Pr
178,Ps,,Pr,,Ps,,,,,,,,,,Pr
179,Ps,Pr,C,Ps,,,,,,,,,,,Pr
180,Ps,Pr,Ps,,,,,,,,,,,,Pr
181,Ps,,Pr,Ps,,,,,,,,,,,Pr
182,Ps,,,Pr,Ps,,,,,,,,,,Pr
183,Ps,,,,Pr,Ps,,,,,,,,,Pr
184,Ps,,,,,Pr,Ps,,,,,,,,Pr
185,Ps,,,,,,Pr,Ps,,,,,,,Pr
186,Ps,,,,,,,Pr,Ps,,,,,,Pr
187,Ps,,,,,,,,Pr,Ps,,,,,Pr
188,Ps,,,,,,,,,Pr,Ps,,,,Pr
189,Ps,,,,,,,,,,Pr,Ps,,,Pr
190,Ps,,,,,,,,,,,Pr,Ps,,Pr
191,Ps,,,,,,,,,,,,Pr,Ps,Pr
192,Ps,,,,,,,,,,,,Pr,Ps,Pr
193,Ps,,,,,,,,,,,,Pr,Ps,Pr
194,Ps,,,,,,,,,,,Pr,,Ps,Pr
195,Ps,,,,,,,,,,,Pr,J,Ps,Pr
196,Ps,,,,,,,,,,,Pr,,Ps,Pr
197,Ps,,,,,,,,,,,,,,Pr
198,NL,,,,,,,,,,,,,,
199,NL,,,,,,,,,,,,,,
200,NL,,,,,,,,,,,,,,
201,NL,,,,,,,,,,,,,,
202,NL,,,,,,,,,,,,,,
203,NL,,,,,,,,,,,,,,
204,NL,,,,,,,,,,,,,,
205,NL,,,,,,,,,,,,,,
206,NL,,,,,,,,,,,,,,
207,NL,,,,,,,,,,,,,,
208,NL,,,,,,,,,,,,,,
209,NL,,,,,,,,,,,,,,
210,NL,,,,,,,,,,,,,,
211,NL,,,,,,,,,,,,,,
212,NL,,,,,,,,,,,,,,
213,NL,,,,,,,,,,,,,,
214,NL,,,,,,,,,,,,,,
215,NL,,,,,,,,,,,,,,
216,NL,,,,,,,,,,,,,,
217,NL,,,,,,,,,,,,,,
218,NL,,,,,,,,,,,,,,
219,NL,,,,,,,,,,,,,,
220,NL,,,,,,,,,,,,,,
221,NL,,,,,,,,,,,,,,
222,NL,,,,,,,,,,,,,,
223,NL,,,,,,,,,,,,,,
224,NL,,,,,,,,,,,,,,
225,NL,,,,,,,,,,,,,,
226,NL,,,,,,,,,,,,,,
227,NL,,,,,,,,,,,,,,
228,NL,,,,,,,,,,,,,,
229,NL,,,,,,,,,,,,,,
230,NL,,,,,,,,,,,,,,
231,NL,,,,,,,,,,,,,,
232,NL,,,,,,,,,,,,,,
233,NL,,,,,,,,,,,,,,
234,NL,,,,,,,,,,,,,,
235,NL,,,,,,,,,,,,,,
236,NL,,,,,,,,,,,,,,
237,NL,,,,,,,,,,,,,,
238,NL,,,,,,,,,,,,,,
239,NL,,,,,,,,,,,,,,
240,NL,,,,,,,,,,,,,,
241,NL,,,,,,,,,,,,,,
242,NL,,,,,,,,,,,,,,
243,NL,,,,,,,,,,,,,,
244,NL,,,,,,,,,,,,,,
245,NL,,,,,,,,,,,,,,
246,NL,,,,,,,,,,,,,,
247,NL,,,,,,,,,,,,,,
248,NL,,,,,,,,,,,,,,
249,NL,,,,,,,,,,,,,,
250,NL,,,,,,,,,,,,,,
251,NL,,,,,,,,,,,,,,
252,NL,,,,,,,,,,,,,,
253,NL,,,,,,,,,,,,,,
254,NL,,,,,,,,,,,,,,
255,NL,,,,,,,,,,,,,,
256,NL,,,,,,,,,,,,,,
257,NL,,,,,,,,,,,,,,
258,NL,,,,,,,,,,,,,,
259,NL,,,,,,,,,,,,,,
260,NL,,,,,,,,,,,,,,
261,NL,,,,,,,,,,,,,,
262,NL,,,,,,,,,,,,,,
263,NL,,,,,,,,,,,,,,
264,NL,,,,,,,,,,,,,,
265,NL,,,,,,,,,,,,,,
266,NL,,,,,,,,,,,,,,
267,NL,,,,,,,,,,,,,,
268,NL,,,,,,,,,,,,,,
269,NL,,,,,,,,,,,,,,
270,NL,,,,,,,,,,,,,,
271,NL,,,,,,,,,,,,,,
272,NL,,,,,,,,,,,,,,
273,NL,,,,,,,,,,,,,,
274,NL,,,,,,,,,,,,,,
275,NL,,,,,,,,,,,,,,
276,NL,,,,,,,,,,,,,,
277,NL,,,,,,,,,,,,,,
278,NL,,,,,,,,,,,,,,
279,NL,,,,,,,,,,,,,,
280,NL,,,,,,,,,,,,,,
281,NL,,,,,,,,,,,,,,
282,NL,,,,,,,,,,,,,,
283,NL,,,,,,,,,,,,,,
284,NL,,,,,,,,,,,,,,
285,NL,,,,,,,,,,,,,,
286,NL,,,,,,,,,,,,,,
287,NL,,,,,,,,,,,,,,
288,NL,,,,,,,,,,,,,,
289,NL,,,,,,,,,,,,,,
290,NL,,,,,,,,,,,,,,
291,NL,,,,,,,,,,,,,,
292,NL,,,,,,,,,,,,,,
293,NL,,,,,,,,,,,,,,
294,NL,,,,,,,,,,,,,,
295,NL,,,,,,,,,,,,,,
296,NL,,,,,,,,,,,,,,
297,NL,,,,,,,,,,,,,,
298,NL,,,,,,,,,,,,,,
299,NL,,,,,,,,,,,,,,
300,NL,,,,,,,,,,,,,,
301,NL,,,,,,,,,,,,,,
302,NL,,,,,,,,,,,,,,
303,NL,,,,,,,,,,,,,,
304,NL,,,,,,,,,,,,,,
305,NL,,,,,,,,,,,,,,
306,NL,,,,,,,,,,,,,,
307,NL,,,,,,,,,,,,,,
308,NL,,,,,,,,,,,,,,
309,NL,,,,,,,,,,,,,,
310,NL,,,,,,,,,,,,,,
311,NL,,,,,,,,,,,,,,
312,NL,,,,,,,,,,,,,,
313,NL,,,,,,,,,,,,,,
314,NL,,,,,,,,,,,,,,
315,NL,,,,,,,,,,,,,,
316,NL,,,,,,,,,,,,,,
317,NL,,,,,,,,,,,,,,
318,NL,,,,,,,,,,,,,,
319,NL,,,,,,,,,,,,,,
320,NL,,,,,,,,,,,,,,
321,NL,,,,,,,,,,,,,,
322,NL,,,,,,,,,,,,,,
323,NL,,,,,,,,,,,,,,
324,NL,,,,,,,,,,,,,,
325,NL,,,,,,,,,,,,,,
326,NL,,,,,,,,,,,,,,
327,NL,,,,,,,,,,,,,,
328,NL,,,,,,,,,,,,,,
329,NL,,,,,,,,,,,,,,
330,NL,,,,,,,,,,,,,,
331,NL,,,,,,,,,,,,,,
332,NL,,,,,,,,,,,,,,
333,NL,,,,,,,,,,,,,,
334,NL,,,,,,,,,,,,,,
335,NL,,,,,,,,,,,,,,
336,NL,,,,,,,,,,,,,,
337,NL,,,,,,,,,,,,,,
338,NL,,,,,,,,,,,,,,
339,NL,,,,,,,,,,,,,,
340,NL,,,,,,,,,,,,,,
341,NL,,,,,,,,,,,,,,
342,NL,,,,,,,,,,,,,,
343,NL,,,,,,,,,,,,,,
344,NL,,,,,,,,,,,,,,
345,NL,,,,,,,,,,,,,,
346,NL,,,,,,,,,,,,,,
347,NL,,,,,,,,,,,,,,
348,NL,,,,,,,,,,,,,,
349,NL,,,,,,,,,,,,,,
350,NL,,,,,,,,,,,,,,
351,NL,,,,,,,,,,,,,,
352,NL,,,,,,,,,,,,,,
353,NL,,,,,,,,,,,,,,
354,Ps,,,,,,Pr,,Ps,,,,,,Pr
355,Ps,,,,,,Pr,C,Ps,,,,,,Pr
356,Ps,,,,,,Pr,,Ps,,,,,,Pr
357,Ps,,,,,,Pr,J,Ps,,,,,,Pr
358,Ps,,,,,,Pr,,Ps,,,,,,Pr
359,Ps,,,,,,,,,,,,,,Pr
360,Ps,,,,,,Pr,,Ps,,,,,,Pr
